Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2025-05-12,154.13999938964844,155.36000061035156,151.17999267578125,152.02000427246094,9023800
2025-05-13,148.44000244140625,151.6999969482422,148.0800018310547,151.6999969482422,10549600
2025-05-14,146.36000061035156,148.82000732421875,146.1199951171875,148.6699981689453,10216000
2025-05-15,149.61000061035156,149.64999389648438,147.3300018310547,148.0,7945800
2025-05-16,151.3300018310547,151.5,149.22000122070312,149.6699981689453,8046000
