Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2025-05-12,221.5800018310547,221.8000030517578,215.8800048828125,219.49000549316406,25437700
2025-05-13,232.4199981689453,235.27999877929688,222.0,222.0,28790500
2025-05-14,232.1199951171875,233.5,228.35000610351562,230.22999572753906,19751400
2025-05-15,232.63999938964844,234.4600067138672,228.07000732421875,230.16000366210938,18803700
2025-05-16,228.61000061035156,232.63999938964844,226.38999938964844,232.32000732421875,23017200
