Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2025-05-12,639.4299926757812,640.3900146484375,621.030029296875,630.9199829101562,21965100
2025-05-13,656.030029296875,660.9199829101562,642.8300170898438,645.5399780273438,18570800
2025-05-14,659.3599853515625,662.6699829101562,654.3099975585938,661.2100219726562,12348200
2025-05-15,643.8800048828125,657.3099975585938,638.5800170898438,654.280029296875,14341800
2025-05-16,640.3400268554688,640.4400024414062,626.1500244140625,637.9600219726562,18405900
