Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2025-05-12,108.1637954711914,109.43211281749522,107.33145748782472,109.26365851387074,14244600
2025-05-13,108.46105194091797,109.50147251909593,108.02506502285975,108.32233020512992,13350800
2025-05-14,107.48999786376953,107.8665272027643,106.94501422596497,107.8665272027643,15494900
2025-05-15,108.58000183105469,108.6500015258789,105.97000122070312,106.48999786376953,15004300
2025-05-16,108.19000244140625,108.88999938964844,107.44999694824219,108.6500015258789,14040600
