Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2025-04-17,355.05999755859375,357.5,348.3699951171875,348.54998779296875,3231700
2025-04-21,346.8999938964844,354.3599853515625,341.79998779296875,354.2900085449219,4015200
2025-04-22,354.42999267578125,356.2200012207031,350.4200134277344,351.1600036621094,2802400
2025-04-23,356.4200134277344,364.8399963378906,354.8500061035156,361.9200134277344,3283300
2025-04-24,359.6400146484375,360.3999938964844,354.6099853515625,356.5,2749500
2025-04-25,357.5799865722656,359.0,354.739990234375,357.70001220703125,2811300
2025-04-28,356.9200134277344,360.1000061035156,354.510009765625,357.989990234375,2413000
2025-04-29,359.0,360.5799865722656,354.7300109863281,355.8900146484375,2836900
2025-04-30,360.489990234375,361.2699890136719,352.3800048828125,356.5,3741500
2025-05-01,358.29998779296875,362.8800048828125,357.7200012207031,360.30999755859375,3210100
2025-05-02,364.5199890136719,366.2300109863281,361.1600036621094,362.0799865722656,2283300
2025-05-05,361.7300109863281,364.260009765625,359.7300109863281,362.1300048828125,2563500
2025-05-06,359.3800048828125,362.2699890136719,357.1300048828125,358.67999267578125,2299700
2025-05-07,362.75,363.7799987792969,359.760009765625,360.4800109863281,2657200
2025-05-08,364.8599853515625,369.30999755859375,362.260009765625,364.010009765625,3035800
2025-05-09,362.7099914550781,365.57000732421875,361.5,362.1300048828125,1970700
2025-05-12,376.5899963378906,378.7200012207031,373.4800109863281,375.0,3831400
2025-05-13,373.6000061035156,381.0,372.95001220703125,381.0,2726800
2025-05-14,372.80999755859375,375.7900085449219,370.8299865722656,371.8999938964844,2587400
2025-05-15,378.6300048828125,379.3299865722656,371.5199890136719,372.1000061035156,2830500
2025-05-16,380.7799987792969,381.1700134277344,378.1499938964844,380.2300109863281,3127300
