Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2025-04-17,247.25999450683594,251.55999755859375,246.8000030517578,249.77000427246094,5564400
2025-04-21,236.25999450683594,242.47999572753906,232.77000427246094,240.42999267578125,9240000
2025-04-22,243.38999938964844,244.22000122070312,235.60000610351562,238.22999572753906,7145300
2025-04-23,250.47999572753906,257.7900085449219,249.5,252.61000061035156,5818900
2025-04-24,264.70001220703125,264.9800109863281,257.0,258.20001220703125,7857600
2025-04-25,267.8500061035156,269.0299987792969,264.20001220703125,264.7200012207031,5651700
2025-04-28,265.6400146484375,269.5,263.3299865722656,268.1499938964844,4977700
2025-04-29,267.760009765625,268.5799865722656,265.1700134277344,265.3999938964844,3139800
2025-04-30,268.7099914550781,268.8699951171875,263.0,264.79998779296875,4624100
2025-05-01,269.3299865722656,274.6000061035156,269.0,273.3999938964844,5208900
2025-05-02,275.0799865722656,276.32000732421875,272.25,274.4599914550781,4323400
2025-05-05,272.6300048828125,276.1700134277344,272.30999755859375,273.3699951171875,4219600
2025-05-06,273.3599853515625,274.79998779296875,268.5400085449219,269.82000732421875,4681600
2025-05-07,278.2300109863281,278.7900085449219,273.7099914550781,273.7099914550781,4267600
2025-05-08,279.739990234375,283.04998779296875,278.3800048828125,279.2099914550781,4789900
2025-05-09,275.4200134277344,282.4800109863281,273.8800048828125,281.6199951171875,4324200
2025-05-12,288.82000732421875,288.9700012207031,283.2300109863281,285.0,5937400
2025-05-13,289.1700134277344,292.739990234375,288.92999267578125,291.0,6711600
2025-05-14,290.739990234375,296.04998779296875,289.260009765625,293.5,7926200
2025-05-15,290.760009765625,291.9700012207031,287.95001220703125,289.57000732421875,4635600
2025-05-16,291.1499938964844,292.1700134277344,289.7200012207031,291.0899963378906,3839100
